Ticker,Crash Probability,Risk Level,Bear Regime %,Sideways Regime %,Bull Regime %,Date,Time
ITC.NS,28.62,MEDIUM RISK — Reduce size,0.45,57.72,41.83,2026-03-22,23:19
BHARTIARTL.NS,22.37,MEDIUM RISK — Reduce size,0.45,57.72,41.83,2026-03-22,23:19
RELIANCE.NS,18.3,LOW RISK    — Safe to hold,0.45,57.72,41.83,2026-03-22,23:19
ICICIBANK.NS,16.01,LOW RISK    — Safe to hold,0.45,57.72,41.83,2026-03-22,23:19
HDFCBANK.NS,8.17,LOW RISK    — Safe to hold,0.45,57.72,41.83,2026-03-22,23:19
TCS.NS,7.06,LOW RISK    — Safe to hold,0.45,57.72,41.83,2026-03-22,23:19
INFY.NS,5.27,LOW RISK    — Safe to hold,0.45,57.72,41.83,2026-03-22,23:19
SBIN.NS,4.93,LOW RISK    — Safe to hold,0.45,57.72,41.83,2026-03-22,23:19
KOTAKBANK.NS,3.06,LOW RISK    — Safe to hold,0.45,57.72,41.83,2026-03-22,23:19
HINDUNILVR.NS,2.92,LOW RISK    — Safe to hold,0.45,57.72,41.83,2026-03-22,23:19
